individu,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9
1,-4.007935250885359,-0.1827168725682035,-0.21302693800146857,1.3628171305950771,0.04876624388716141,-2.2482661073317276,2.0812217297105713,0.8234609575176864,1.3748925552300753
2,-2.563037649391015,-0.7530090480127638,0.698177316916976,-0.05390766431209341,-0.375040931920628,-0.7498611114215897,0.11292598711538095,-0.07158907343669037,0.32266646154226064
3,-0.7251281132254673,0.29393056462937894,-0.026057939996524348,-1.7138105995174437,-0.47037295103791404,-0.5511023977294499,-0.37160348128950016,0.0032089468850958953,0.4386550665948184
4,2.2707497425577152,-0.6935416636459317,-0.9642269213716438,-0.6207759139632417,-0.1654026049662137,0.3228141019106186,0.08374098923645208,-0.09884351008406395,0.18805719331272513
5,-0.5294243754578731,-0.8894215905335399,0.23581304168669992,-0.5601276557853426,-0.6825917763838909,-1.1180475054911239,-0.16660665035627228,0.3399865707836026,0.09247707995863959
6,1.2982931271732294,1.0195665244997258,-1.3269605984690724,0.09351533765150964,0.12362013900028357,0.15857368486671267,0.3195004161505162,0.0013226138022248638,-0.10980616765483805
7,0.6712762290539664,-0.983245688757652,-0.3701245099653838,-0.10513923687548618,-0.020889781464925483,0.22100102389343554,-0.004704153859525693,-0.06132647936912016,-0.29194930737231134
8,-1.6953025067390446,-0.5263979233547381,1.3246482815233607,-0.3142142110860315,-0.5352563095427791,-0.7169032853119163,0.38487937952077717,0.015560073053082425,0.5664515794210373
9,4.064992102097879,-0.6213874717072044,-0.9064524240755772,-0.5284889484804911,0.07823961504450946,-0.3613831941507341,0.1495914872645579,0.11115438569806108,0.046110561086664135
10,1.4868811758776646,-0.8982961778810272,-1.6897686214792143,-0.2833482272163017,0.04940589834245148,-0.028772141842296463,0.2137731713463896,0.00767449191141707,-0.15747921605057114
11,0.4883676609359428,-1.0868567761062256,0.504688276700579,-1.601127179182804,-0.014305694996863266,0.12266620976105352,-0.08332579356820503,-0.2143675732351377,0.3141822332718681
12,0.08611304918146061,-0.8229709742945228,-1.130657061191067,-0.6946222299523735,-0.4931042789712007,-0.6819747757173555,0.4839092811139458,0.22296850202734067,0.07668615080646883
13,1.3156038301591808,-0.7715261987687223,-1.4973636810520654,-0.38110381367112733,-0.1616926076301331,0.20194510505552296,0.0950124357761611,0.19082962670350015,0.31746685170264527
14,0.11882404569657579,-1.073681648177327,-0.5801453962545551,-0.996411714579712,-0.39227036021266615,-0.2068551637895365,0.11774368537069518,-0.18362098324633205,-0.012183004923252442
15,2.595905693734896,-0.8274761770880938,-1.021604104740457,-0.58090798482809,0.0005120333635213849,-0.19434419718487542,0.012528585445277431,0.09537574496022008,-0.1673029374403332
16,3.1985295020533484,0.41668530688653543,0.9180406619669337,-0.9286179627656239,0.44908655479704274,0.09829896395518921,-0.2877427350828439,0.0910142705074149,0.16727429395209006
17,1.2545275412722365,1.074295903236894,-0.5353798112942549,-0.5000011797458693,0.9072730056373288,-0.20088860932615954,-0.02676934417332545,0.01868074160912197,-0.1008783247788168
18,0.2779078916329167,-0.5462242184447874,0.6561779204525084,-0.8157316478646567,-0.35033362957852904,-0.6019726028680613,-0.2313820691559253,0.18212925696155619,0.1139282830572461
19,-3.821601477328124,0.3512388560925769,-0.44200962499092294,0.3420922569676902,-1.3648329000742399,0.14118185029309432,-0.030161419936712328,-0.05914941328680941,0.10541780025750666
20,-0.5872521043317587,-0.023400296206917474,-0.02130831180333097,-0.7178585563823946,0.24712225922707476,-0.46839345749000716,-0.4165350973087284,0.06126372883412108,-0.04835616196695492
21,1.5622368953438037,-0.9528602228382005,-1.233195252812325,-0.5144777772065734,-0.025680387461034127,-0.3595969616149668,0.29075252216067815,-0.01978091139923232,0.0557701964776375
22,0.9536337531998168,-0.9700425492751243,-1.8055794056549364,-0.2653173898868427,-0.03860044611950169,-0.4616182569412911,-0.016002045864032664,0.24114073868870556,-0.01301277568650261
23,1.9034874310420584,-0.4948263664031425,-1.1564487367269178,0.4097857673563858,-0.019448096631254796,-0.11349516459977833,0.42711384364631255,-0.07366587583852027,0.059241122776479936
24,-0.27814734115022616,-0.6609270107980567,-1.7260772649049625,0.4908327833964845,0.3955227729465175,0.24451834584639304,0.13764127890876005,0.05471990540868123,-0.08667841456817535
25,-1.1741973829223977,-0.9400104602690336,-1.0489267298021192,-0.8673906325437368,-0.06125583071531004,0.20676141907917533,0.16422319938405133,0.18407671193620906,0.3338126195283688
