axe,eigenvalue,inertia_pct,inertia_cum_pct
1,0.12540036663917709,5.108903826040564,5.108903826040564
2,0.0945844197761127,3.853439324212011,8.962343150252575
3,0.08767927571532658,3.5721186402540566,12.534461790506633
4,0.07407530111468455,3.017882638005676,15.55234442851231
5,0.07264890305860348,2.9597701246097805,18.51211455312209
6,0.0679262163162118,2.767364368438267,21.279478921560354
7,0.06630533714901841,2.7013285505155733,23.980807472075927
8,0.06367064762428902,2.5939893476562275,26.574796819732153
9,0.06158514698749275,2.5090245068978603,29.083821326630012
10,0.05960157561464751,2.428212339856017,31.51203366648603
11,0.05780665994865375,2.355086146056271,33.8671198125423
12,0.05547263519376266,2.2599962486347818,36.127116061177084
13,0.053468269154132796,2.178336891464676,38.30545295264176
14,0.0526662790285017,2.1456632196797054,40.45111617232146
15,0.05154866660577447,2.1001308617167442,42.551247034038205
16,0.05003169490734302,2.038328311039907,44.58957534507811
17,0.049199019559697355,2.004404500580269,46.59397984565838
18,0.047820217176995077,1.9482310701738792,48.542210915832264
19,0.04603120504365201,1.8753453906673099,50.41755630649958
20,0.044300383619590884,1.8048304437611156,52.22238675026069
21,0.04390533875023084,1.7887360231575582,54.01112277341825
22,0.04339094912358224,1.767779408738541,55.77890218215679
23,0.04238427725729879,1.7267668512232894,57.50566903338008
24,0.04160892927118951,1.6951785999373556,59.20084763331744
25,0.03991284889986981,1.6260790292539604,60.826926662571395
26,0.03914389578968953,1.594751309950319,62.421677972521714
27,0.03768965078130701,1.5355042910902903,63.957182263612005
28,0.03724259107699763,1.5172907475813895,65.4744730111934
29,0.03679495056063221,1.4990535413590946,66.97352655255249
30,0.034725851130973734,1.4147568979285639,68.38828345048105
31,0.03384031705275003,1.3786795836305608,69.76696303411161
32,0.033002567660175855,1.3445490528219834,71.1115120869336
33,0.03180101786710924,1.2955970242155657,72.40710911114917
34,0.031157963403972647,1.2693985090507414,73.67650762019991
35,0.029776487318298826,1.2131161500047707,74.88962377020468
36,0.029176300080500744,1.1886640773537376,76.07828784755841
37,0.027683794819380388,1.1278583074562414,77.20614615501465
38,0.027476829622570472,1.1194263920306522,78.3255725470453
39,0.026385979242246994,1.0749843394989549,79.40055688654425
40,0.02550765747466703,1.0392008600790303,80.43975774662329
41,0.024644002964203927,1.0040149355786816,81.44377268220197
42,0.02285133603020161,0.9309803567859943,82.37475303898796
43,0.022509998031749825,0.9170739938861067,83.29182703287407
44,0.02183449716080109,0.8895535880326397,84.18138062090671
45,0.021127354146285103,0.860744057811618,85.04212467871832
46,0.02060047788204725,0.8392787285278535,85.88140340724618
47,0.019928997225335282,0.8119221091803287,86.69332551642651
48,0.01973702416627211,0.8041009845518292,87.49742650097834
49,0.01830557841758386,0.7457828244200854,88.24320932539842
50,0.017417572147904986,0.709604791210946,88.95281411660937
51,0.017194514235014634,0.7005172466117094,89.65333136322108
52,0.016599186419368122,0.6762631504187033,90.32959451363979
53,0.01593875178043813,0.6493565540178516,90.97895106765765
54,0.015544341023720626,0.6332879676330644,91.61223903529071
55,0.014911337000607632,0.6074989148395721,92.21973795013028
56,0.014700253702790609,0.5988992249285081,92.81863717505878
57,0.014254641833516962,0.5807446672914336,93.39938184235021
58,0.013339168957088749,0.5434476241776914,93.9428294665279
59,0.012998385375735324,0.5295638486410704,94.47239331516897
60,0.012621612942013815,0.5142138606005644,94.98660717576954
61,0.011786879815020853,0.4802062146860362,95.46681339045557
62,0.011242666398038314,0.4580345569571179,95.92484794741269
63,0.01061127771847148,0.4323113144562469,96.35715926186893
64,0.010158048964144642,0.4138464392799681,96.7710057011489
65,0.009767677190706469,0.3979424040658203,97.16894810521471
66,0.009537263085900341,0.388555162758904,97.55750326797362
67,0.009314367486145428,0.37947423091703714,97.93697749889066
68,0.00861936696964029,0.3511593950594203,98.28813689395008
69,0.007744300593282959,0.3155085426893067,98.60364543663938
70,0.007334850333701148,0.29882723581745513,98.90247267245684
71,0.006406364184124617,0.2610000223161889,99.16347269477302
72,0.00460282950771314,0.18752268364757294,99.35099537842059
73,0.003913154280984563,0.15942480404011233,99.5104201824607
74,0.003524847026848569,0.14360487887160883,99.65402506133232
75,0.002918156754240397,0.11888786776534986,99.77291292909767
76,0.0022466806159690236,0.09153143250244199,99.8644443616001
77,0.0015606888106113818,0.06358361821009352,99.9280279798102
78,0.0011783615391478984,0.0480073219652849,99.97603530177548
79,0.0005882244109696942,0.02396469822469132,100.00000000000017
80,3.3588251787664533e-31,1.3684102580159666e-29,100.00000000000017
81,2.4730861685507e-32,1.0075536242243624e-30,100.00000000000017
82,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
83,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
84,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
85,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
86,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
87,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
88,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
89,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
90,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
91,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
92,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
93,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
94,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
95,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
96,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
97,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
98,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
99,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
100,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
101,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
102,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
103,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
104,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
105,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
106,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
107,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
108,1.2517549497270229e-33,5.099742387776775e-32,100.00000000000017
